row	column	cor	p
HINS6	WKHP	-0.002675	0.001579
JWMNP	WKHP	0.099969	0.000000
JWTR	WKHP	-0.053108	0.000000
MAR	WKHP	-0.159919	0.000000
MIG	WKHP	-0.003265	0.000115
MIL	WKHP	-0.006921	0.000000
SCH	WKHP	-0.244425	0.000000
SEX	WKHP	-0.205648	0.000000
SPORDER	WKW	0.143149	0.000000
AGEP	WKW	-0.154966	0.000000
COW	WKW	-0.003561	0.000026
HINS1	WKW	0.149675	0.000000
HINS2	WKW	-0.046125	0.000000
HINS3	WKW	-0.063622	0.000000
HINS4	WKW	-0.131546	0.000000
HINS5	WKW	-0.002940	0.000516
HINS6	WKW	-0.001583	0.061430
JWMNP	WKW	-0.048651	0.000000
JWTR	WKW	0.081119	0.000000
MAR	WKW	0.165884	0.000000
MIG	WKW	0.063112	0.000000
MIL	WKW	-0.044319	0.000000
SCH	WKW	0.231369	0.000000
SEX	WKW	0.058984	0.000000
WKHP	WKW	-0.365705	0.000000
SPORDER	NATIVITY	0.038123	0.000000
AGEP	NATIVITY	0.035942	0.000000
COW	NATIVITY	-0.008961	0.000000
HINS1	NATIVITY	0.103092	0.000000
HINS2	NATIVITY	-0.011528	0.000000
HINS3	NATIVITY	0.030265	0.000000
HINS4	NATIVITY	-0.041614	0.000000
HINS5	NATIVITY	0.034813	0.000000
HINS6	NATIVITY	0.038474	0.000000
JWMNP	NATIVITY	0.060785	0.000000
JWTR	NATIVITY	0.039335	0.000000
MAR	NATIVITY	-0.083573	0.000000
MIG	NATIVITY	-0.014122	0.000000
MIL	NATIVITY	0.080422	0.000000
SCH	NATIVITY	-0.028014	0.000000
SEX	NATIVITY	-0.021882	0.000000
WKHP	NATIVITY	0.009969	0.000000
WKW	NATIVITY	-0.005427	0.000000
SPORDER	OC	0.160965	0.000000
AGEP	OC	0.002007	0.017752
COW	OC	-0.040483	0.000000
HINS1	OC	-0.048207	0.000000
HINS2	OC	0.019122	0.000000
HINS3	OC	0.009078	0.000000
HINS4	OC	0.003767	0.000009
HINS5	OC	0.091355	0.000000
HINS6	OC	0.001753	0.038420
JWMNP	OC	0.021931	0.000000
JWTR	OC	-0.183791	0.000000
MAR	OC	-0.033262	0.000000
MIG	OC	-0.101306	0.000000
MIL	OC	-0.088989	0.000000
SCH	OC	-0.048892	0.000000
SEX	OC	0.009047	0.000000
WKHP	OC	-0.026969	0.000000
WKW	OC	0.036488	0.000000
NATIVITY	OC	-0.004285	0.000000
SPORDER	RAC1P	0.082275	0.000000
AGEP	RAC1P	-0.090673	0.000000
COW	RAC1P	-0.027927	0.000000
HINS1	RAC1P	0.064024	0.000000
HINS2	RAC1P	0.002813	0.000893
HINS3	RAC1P	0.050459	0.000000
HINS4	RAC1P	-0.068446	0.000000
HINS5	RAC1P	0.004569	0.000000
HINS6	RAC1P	0.016750	0.000000
JWMNP	RAC1P	0.041083	0.000000
JWTR	RAC1P	0.047673	0.000000
MAR	RAC1P	0.057913	0.000000
MIG	RAC1P	0.021484	0.000000
MIL	RAC1P	0.033334	0.000000
SCH	RAC1P	0.032982	0.000000
SEX	RAC1P	0.003070	0.000287
WKHP	RAC1P	-0.022850	0.000000
WKW	RAC1P	0.025604	0.000000
NATIVITY	RAC1P	0.381388	0.000000
OC	RAC1P	-0.009201	0.000000
SPORDER	SCIENGRLP	-0.132928	0.000000
AGEP	SCIENGRLP	0.047269	0.000000
COW	SCIENGRLP	0.104688	0.000000
HINS1	SCIENGRLP	-0.175166	0.000000
HINS2	SCIENGRLP	0.000131	0.877066
HINS3	SCIENGRLP	0.006154	0.000000
HINS4	SCIENGRLP	0.134998	0.000000
HINS5	SCIENGRLP	-0.000682	0.420768
HINS6	SCIENGRLP	0.012210	0.000000
JWMNP	SCIENGRLP	0.049365	0.000000
JWTR	SCIENGRLP	0.011763	0.000000
MAR	SCIENGRLP	-0.113991	0.000000
MIG	SCIENGRLP	0.016100	0.000000
MIL	SCIENGRLP	0.043729	0.000000
SCH	SCIENGRLP	-0.053189	0.000000
SEX	SCIENGRLP	0.032503	0.000000
WKHP	SCIENGRLP	0.127319	0.000000
WKW	SCIENGRLP	-0.070774	0.000000
NATIVITY	SCIENGRLP	0.008742	0.000000
OC	SCIENGRLP	0.009401	0.000000
RAC1P	SCIENGRLP	-0.012463	0.000000
SPORDER	SameResidenceWorkplace	-0.002575	0.002357
AGEP	SameResidenceWorkplace	0.002886	0.000654
COW	SameResidenceWorkplace	-0.004668	0.000000
HINS1	SameResidenceWorkplace	-0.004447	0.000000
HINS2	SameResidenceWorkplace	0.002299	0.006607
HINS3	SameResidenceWorkplace	0.001893	0.025316
HINS4	SameResidenceWorkplace	0.003540	0.000029
HINS5	SameResidenceWorkplace	-0.000407	0.630550
HINS6	SameResidenceWorkplace	-0.002390	0.004762
JWMNP	SameResidenceWorkplace	0.026382	0.000000
JWTR	SameResidenceWorkplace	0.003259	0.000119
MAR	SameResidenceWorkplace	-0.003346	0.000078
MIG	SameResidenceWorkplace	0.001032	0.222870
MIL	SameResidenceWorkplace	-0.001328	0.116726
SCH	SameResidenceWorkplace	-0.001668	0.048751
SEX	SameResidenceWorkplace	-0.006218	0.000000
WKHP	SameResidenceWorkplace	0.006672	0.000000
WKW	SameResidenceWorkplace	-0.002278	0.007120
NATIVITY	SameResidenceWorkplace	-0.004587	0.000000
OC	SameResidenceWorkplace	-0.000170	0.841061
RAC1P	SameResidenceWorkplace	-0.001641	0.052656
SCIENGRLP	SameResidenceWorkplace	-0.000308	0.716221
